Title,Date,Year,Month,Month_Name,Day,Weekday,Series,Episode
Song Exploder: Volumen 1: R.E.M.: Losing My Religion,2020-10-12,2020,10,October,12,Monday,Song Exploder,Volumen 1: R.E.M.: Losing My Religion
CODE GEASS: La re;surrección de Lelouch,2020-10-11,2020,10,October,11,Sunday,CODE GEASS,La re;surrección de Lelouch
Neon Genesis Evangelion: Temporada 1: Un mundo que se acaba,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Un mundo que se acaba
Neon Genesis Evangelion: Temporada 1: El último enviado,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El último enviado
Neon Genesis Evangelion: Temporada 1: Rei III: Lágrimas,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Rei III: Lágrimas
Neon Genesis Evangelion: Temporada 1: Al menos actúa como un ser humano,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Al menos actúa como un ser humano
Neon Genesis Evangelion: Temporada 1: El espejo del alma,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El espejo del alma
Neon Genesis Evangelion: Temporada 1: El nacimiento de NERV,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El nacimiento de NERV
Neon Genesis Evangelion: Temporada 1: El combate de un muchacho,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El combate de un muchacho
Neon Genesis Evangelion: Temporada 1: Elegir un destino,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Elegir un destino
Neon Genesis Evangelion: Temporada 1: Apto para ser el cuarto elegido,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Apto para ser el cuarto elegido
Neon Genesis Evangelion: Temporada 1: Al borde de la muerte y después...,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Al borde de la muerte y después...
Neon Genesis Evangelion: Temporada 1: Mentiras y silencio,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Mentiras y silencio
"Neon Genesis Evangelion: Temporada 1: SEELE, el lugar de los espíritus",2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,"Temporada 1: SEELE, el lugar de los espíritus"
Neon Genesis Evangelion: Temporada 1: La invasión del ángel,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: La invasión del ángel
Neon Genesis Evangelion: Temporada 1: El valor de un milagro,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El valor de un milagro
Neon Genesis Evangelion: Temporada 1: En las tinieblas inmóviles,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: En las tinieblas inmóviles
Neon Genesis Evangelion: Temporada 1: Sumergida en el magma,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Sumergida en el magma
"Neon Genesis Evangelion: Temporada 1: Un instante, una mente al unísono",2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,"Temporada 1: Un instante, una mente al unísono"
Neon Genesis Evangelion: Temporada 1: Asuka llega a Japón,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Asuka llega a Japón
Neon Genesis Evangelion: Temporada 1: Construido por los hombres,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Construido por los hombres
Neon Genesis Evangelion: Temporada 1: La batalla decisiva,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: La batalla decisiva
"Neon Genesis Evangelion: Temporada 1: Rei, al otro lado de su corazón",2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,"Temporada 1: Rei, al otro lado de su corazón"
"Neon Genesis Evangelion: Temporada 1: Lluvia, después de la huida",2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,"Temporada 1: Lluvia, después de la huida"
Neon Genesis Evangelion: Temporada 1: El teléfono que nunca suena,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El teléfono que nunca suena
Neon Genesis Evangelion: Temporada 1: Un techo desconocido,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: Un techo desconocido
Neon Genesis Evangelion: Temporada 1: El ataque del ángel,2020-10-11,2020,10,October,11,Sunday,Neon Genesis Evangelion,Temporada 1: El ataque del ángel
El Halloween de Hubie,2020-10-10,2020,10,October,10,Saturday,El Halloween de Hubie,
Hacia el lago: Temporada 1: Episodio 1,2020-10-07,2020,10,October,7,Wednesday,Hacia el lago,Temporada 1: Episodio 1
Blade Runner 2049,2020-10-06,2020,10,October,6,Tuesday,Blade Runner 2049,
How to Get Away With Murder: Temporada 6: Quédate,2020-10-06,2020,10,October,6,Tuesday,How to Get Away With Murder,Temporada 6: Quédate
How to Get Away With Murder: Temporada 6: Annalise Keating está muerta,2020-10-06,2020,10,October,6,Tuesday,How to Get Away With Murder,Temporada 6: Annalise Keating está muerta
How to Get Away With Murder: Temporada 6: ¿Y si Sam no fue el villano todo este tiempo?,2020-10-05,2020,10,October,5,Monday,How to Get Away With Murder,Temporada 6: ¿Y si Sam no fue el villano todo este tiempo?
How to Get Away With Murder: Temporada 6: Vamos a lastimarlo,2020-10-05,2020,10,October,5,Monday,How to Get Away With Murder,Temporada 6: Vamos a lastimarlo
How to Get Away With Murder: Temporada 6: El ajuste de cuentas,2020-10-05,2020,10,October,5,Monday,How to Get Away With Murder,Temporada 6: El ajuste de cuentas
How to Get Away With Murder: Temporada 6: No nos libraremos de esta,2020-10-05,2020,10,October,5,Monday,How to Get Away With Murder,Temporada 6: No nos libraremos de esta
How to Get Away With Murder: Temporada 6: ¿Eres el topo?,2020-10-05,2020,10,October,5,Monday,How to Get Away With Murder,Temporada 6: ¿Eres el topo?
How to Get Away With Murder: Temporada 6: Quiero ser libre,2020-10-04,2020,10,October,4,Sunday,How to Get Away With Murder,Temporada 6: Quiero ser libre
How to Get Away With Murder: Temporada 6: Yo soy el asesino,2020-10-04,2020,10,October,4,Sunday,How to Get Away With Murder,Temporada 6: Yo soy el asesino
Secreto bien guardado: Season 1: Chapter 1: “Glances”,2020-10-04,2020,10,October,4,Sunday,Secreto bien guardado,Season 1: Chapter 1: “Glances”
American Murder: La familia de al lado,2020-10-04,2020,10,October,4,Sunday,American Murder,La familia de al lado
How to Get Away With Murder: Temporada 6: La familia es lo peor,2020-10-03,2020,10,October,3,Saturday,How to Get Away With Murder,Temporada 6: La familia es lo peor
How to Get Away With Murder: Temporada 6: Todos vamos a morir,2020-10-03,2020,10,October,3,Saturday,How to Get Away With Murder,Temporada 6: Todos vamos a morir
How to Get Away With Murder: Temporada 6: Odio al mundo,2020-10-03,2020,10,October,3,Saturday,How to Get Away With Murder,Temporada 6: Odio al mundo
How to Get Away With Murder: Temporada 6: ¿Crees que soy un hombre malo?,2020-10-03,2020,10,October,3,Saturday,How to Get Away With Murder,Temporada 6: ¿Crees que soy un hombre malo?
How to Get Away With Murder: Temporada 6: Vivian está aquí,2020-10-03,2020,10,October,3,Saturday,How to Get Away With Murder,Temporada 6: Vivian está aquí
How to Get Away With Murder: Temporada 6: Di adiós,2020-10-03,2020,10,October,3,Saturday,How to Get Away With Murder,Temporada 6: Di adiós
¿Quién @#*%$ es papá?,2020-09-27,2020,9,September,27,Sunday,¿Quién @#*%$ es papá?,
Challenger: El vuelo final: Miniserie: Nada termina aquí,2020-09-26,2020,9,September,26,Saturday,Challenger,El vuelo final: Miniserie: Nada termina aquí
Challenger: El vuelo final: Miniserie: Una falla grave,2020-09-26,2020,9,September,26,Saturday,Challenger,El vuelo final: Miniserie: Una falla grave
Challenger: El vuelo final: Miniserie: ¡Ayuda!,2020-09-26,2020,9,September,26,Saturday,Challenger,El vuelo final: Miniserie: ¡Ayuda!
Código abierto,2020-09-26,2020,9,September,26,Saturday,Código abierto,
Terremoto: La falla de San Andrés,2020-09-26,2020,9,September,26,Saturday,Terremoto,La falla de San Andrés
El manual de juego: Temporada 1: Jill Ellis: Lecciones de vida de una entrenadora,2020-09-26,2020,9,September,26,Saturday,El manual de juego,Temporada 1: Jill Ellis: Lecciones de vida de una entrenadora
El manual de juego: Temporada 1: Doc Rivers: Lecciones de vida de un entrenador,2020-09-26,2020,9,September,26,Saturday,El manual de juego,Temporada 1: Doc Rivers: Lecciones de vida de un entrenador
El manual de juego: Temporada 1: Patrick Mouratoglou: Lecciones de vida de un entrenador,2020-09-26,2020,9,September,26,Saturday,El manual de juego,Temporada 1: Patrick Mouratoglou: Lecciones de vida de un entrenador
El manual de juego: Temporada 1: José Mourinho: Lecciones de vida de un entrenador,2020-09-26,2020,9,September,26,Saturday,El manual de juego,Temporada 1: José Mourinho: Lecciones de vida de un entrenador
El joven Wallander: Temporada 1: Episodio 6,2020-09-26,2020,9,September,26,Saturday,El joven Wallander,Temporada 1: Episodio 6
El joven Wallander: Temporada 1: Episodio 5,2020-09-26,2020,9,September,26,Saturday,El joven Wallander,Temporada 1: Episodio 5
El joven Wallander: Temporada 1: Episodio 4,2020-09-26,2020,9,September,26,Saturday,El joven Wallander,Temporada 1: Episodio 4
El joven Wallander: Temporada 1: Episodio 3,2020-09-26,2020,9,September,26,Saturday,El joven Wallander,Temporada 1: Episodio 3
Challenger: El vuelo final: Miniserie: Espacio para todos,2020-09-25,2020,9,September,25,Friday,Challenger,El vuelo final: Miniserie: Espacio para todos
Blown Away: Temporada 1: Invencible,2020-09-18,2020,9,September,18,Friday,Blown Away,Temporada 1: Invencible
Blown Away: Temporada 1: El cuerpo,2020-09-18,2020,9,September,18,Friday,Blown Away,Temporada 1: El cuerpo
"How to Sell Drugs Online (Fast): Temporada 1: La vida no es justa, acostúmbrate a ello",2020-09-14,2020,9,September,14,Monday,How to Sell Drugs Online (Fast),"Temporada 1: La vida no es justa, acostúmbrate a ello"
"How to Sell Drugs Online (Fast): Temporada 1: Nerd hoy, jefe mañana",2020-09-14,2020,9,September,14,Monday,How to Sell Drugs Online (Fast),"Temporada 1: Nerd hoy, jefe mañana"
Tan plana como un encefalograma,2020-09-13,2020,9,September,13,Sunday,Tan plana como un encefalograma,
La valla: Temporada 1: Otro mundo,2020-09-13,2020,9,September,13,Sunday,La valla,Temporada 1: Otro mundo
El dilema de las redes sociales,2020-09-12,2020,9,September,12,Saturday,El dilema de las redes sociales,
Lucifer: Temporada 5: Una historia en clave noir,2020-09-12,2020,9,September,12,Saturday,Lucifer,Temporada 5: Una historia en clave noir
La niñera: Reina Letal,2020-09-10,2020,9,September,10,Thursday,La niñera,Reina Letal
Cobra Kai: Temporada 2: Sin piedad,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Sin piedad
Cobra Kai: Temporada 2: Pulpo,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Pulpo
Cobra Kai: Temporada 2: Glory of Love,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Glory of Love
Cobra Kai: Temporada 2: Calma,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Calma
Cobra Kai: Temporada 2: Echa un vistazo a tu derecha,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Echa un vistazo a tu derecha
Cobra Kai: Temporada 2: Darlo todo,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Darlo todo
Cobra Kai: Temporada 2: La hora de la verdad,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: La hora de la verdad
Cobra Kai: Temporada 2: Hielo y fuego,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Hielo y fuego
Cobra Kai: Temporada 2: Otra vez juntos,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Otra vez juntos
Cobra Kai: Temporada 2: Piedad (Parte 2),2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 2: Piedad (Parte 2)
Cobra Kai: Temporada 1: Piedad,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: Piedad
Cobra Kai: Temporada 1: Diferentes pero iguales,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: Diferentes pero iguales
Cobra Kai: Temporada 1: Muda,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: Muda
Cobra Kai: Temporada 1: All Valley,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: All Valley
Cobra Kai: Temporada 1: Cobra Kai nunca muere,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: Cobra Kai nunca muere
Cobra Kai: Temporada 1: Esqueleto,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: Esqueleto
Cobra Kai: Temporada 1: Golpear primero,2020-09-08,2020,9,September,8,Tuesday,Cobra Kai,Temporada 1: Golpear primero
El joven Wallander: Temporada 1: Episodio 1,2020-09-08,2020,9,September,8,Tuesday,El joven Wallander,Temporada 1: Episodio 1
How to Sell Drugs Online (Fast): Temporada 2: No seas malvado,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 2: No seas malvado
How to Sell Drugs Online (Fast): Temporada 2: Muévete rápido y rompe cosas,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 2: Muévete rápido y rompe cosas
How to Sell Drugs Online (Fast): Temporada 2: Cómpralo. Véndelo. Ámalo.,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 2: Cómpralo. Véndelo. Ámalo.
How to Sell Drugs Online (Fast): Temporada 2: Inspirado en la vida real,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 2: Inspirado en la vida real
How to Sell Drugs Online (Fast): Temporada 2: ¿Hasta dónde quieres llegar hoy?,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 2: ¿Hasta dónde quieres llegar hoy?
How to Sell Drugs Online (Fast): Temporada 2: Piensa diferente,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 2: Piensa diferente
"How to Sell Drugs Online (Fast): Temporada 1: Si eres el más listo de la habitación, te equivocaste de habitación",2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),"Temporada 1: Si eres el más listo de la habitación, te equivocaste de habitación"
How to Sell Drugs Online (Fast): Temporada 1: Arriésgate en grande o no te arriesgues,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 1: Arriésgate en grande o no te arriesgues
"How to Sell Drugs Online (Fast): Temporada 1: Si esta es la realidad, no me interesa",2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),"Temporada 1: Si esta es la realidad, no me interesa"
How to Sell Drugs Online (Fast): Temporada 1: El fracaso no es opción,2020-09-07,2020,9,September,7,Monday,How to Sell Drugs Online (Fast),Temporada 1: El fracaso no es opción
Mundo misterioso: Temporada 1: ¿Calentamiento global o conspiración global?,2020-09-07,2020,9,September,7,Monday,Mundo misterioso,Temporada 1: ¿Calentamiento global o conspiración global?
Mundo misterioso: Temporada 1: El camino hacia la inteligencia artificial,2020-09-07,2020,9,September,7,Monday,Mundo misterioso,Temporada 1: El camino hacia la inteligencia artificial
Retribution: Temporada 1: Adam y Grace,2020-09-06,2020,9,September,6,Sunday,Retribution,Temporada 1: Adam y Grace
Retribution: Temporada 1: Lago Glenarvon,2020-09-06,2020,9,September,6,Sunday,Retribution,Temporada 1: Lago Glenarvon
Retribution: Temporada 1: Bajo la superficie,2020-09-06,2020,9,September,6,Sunday,Retribution,Temporada 1: Bajo la superficie
Retribution: Temporada 1: La tormenta,2020-09-06,2020,9,September,6,Sunday,Retribution,Temporada 1: La tormenta
Psiconautas: Season 1: Un Argentino Nacido en España,2020-09-06,2020,9,September,6,Sunday,Psiconautas,Season 1: Un Argentino Nacido en España
Freaks: Eres de los nuestros,2020-09-05,2020,9,September,5,Saturday,Freaks,Eres de los nuestros
Lejos: Temporada 1: Hogar,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Hogar
Lejos: Temporada 1: Spektr,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Spektr
Mundo misterioso: Temporada 1: La gran extinción,2020-09-05,2020,9,September,5,Saturday,Mundo misterioso,Temporada 1: La gran extinción
Lejos: Temporada 1: Signos vitales,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Signos vitales
Mundo misterioso: Temporada 1: Apocalipsis zombi: ¿fantasía o realidad?,2020-09-05,2020,9,September,5,Saturday,Mundo misterioso,Temporada 1: Apocalipsis zombi: ¿fantasía o realidad?
"Lejos: Temporada 1: Buenas noches, Marte",2020-09-05,2020,9,September,5,Saturday,Lejos,"Temporada 1: Buenas noches, Marte"
Lejos: Temporada 1: Un poco de fe,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Un poco de fe
Lejos: Temporada 1: Perros del espacio,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Perros del espacio
Lejos: Temporada 1: Excelentes carruajes,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Excelentes carruajes
Lejos: Temporada 1: La mitad del cielo,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: La mitad del cielo
Lejos: Temporada 1: Sin retorno,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Sin retorno
Lejos: Temporada 1: Listos para el despegue,2020-09-05,2020,9,September,5,Saturday,Lejos,Temporada 1: Listos para el despegue
Mundo misterioso: Temporada 1: De lobo a perro,2020-09-03,2020,9,September,3,Thursday,Mundo misterioso,Temporada 1: De lobo a perro
Mundo misterioso: Temporada 1: Cómo viajar en el tiempo,2020-09-03,2020,9,September,3,Thursday,Mundo misterioso,Temporada 1: Cómo viajar en el tiempo
Mundo misterioso: Temporada 1: La gran peste y sus 20 millones de muertos,2020-09-03,2020,9,September,3,Thursday,Mundo misterioso,Temporada 1: La gran peste y sus 20 millones de muertos
Mundo misterioso: Temporada 1: Los misterios del Triángulo de las Bermudas,2020-09-03,2020,9,September,3,Thursday,Mundo misterioso,Temporada 1: Los misterios del Triángulo de las Bermudas
Lucifer: Temporada 5: ¡Diablo!,2020-08-28,2020,8,August,28,Friday,Lucifer,Temporada 5: ¡Diablo!
"Lucifer: Temporada 5: ¡Lucifer, Lucifer, Lucifer!",2020-08-28,2020,8,August,28,Friday,Lucifer,"Temporada 5: ¡Lucifer, Lucifer, Lucifer!"
Lucifer: Temporada 5: El príncipe triste,2020-08-28,2020,8,August,28,Friday,Lucifer,Temporada 5: El príncipe triste
Oscuro deseo: Temporada 1: La respuesta siempre estuvo ahí...,2020-08-25,2020,8,August,25,Tuesday,Oscuro deseo,Temporada 1: La respuesta siempre estuvo ahí...
Oscuro deseo: Temporada 1: Matamos lo que amamos,2020-08-25,2020,8,August,25,Tuesday,Oscuro deseo,Temporada 1: Matamos lo que amamos
"Love, Death & Robots: Volumen 1: MÁS ALLÁ DE LA GRIETA",2020-08-24,2020,8,August,24,Monday,"Love, Death & Robots",Volumen 1: MÁS ALLÁ DE LA GRIETA
"Love, Death & Robots: Volumen 1: TESTIGO",2020-08-24,2020,8,August,24,Monday,"Love, Death & Robots",Volumen 1: TESTIGO
"Oscuro deseo: Temporada 1: Apocalipsis 21, 8... El fuego es encendido en su ira",2020-08-24,2020,8,August,24,Monday,Oscuro deseo,"Temporada 1: Apocalipsis 21, 8... El fuego es encendido en su ira"
Oscuro deseo: Temporada 1: Nunca hablamos de amor,2020-08-24,2020,8,August,24,Monday,Oscuro deseo,Temporada 1: Nunca hablamos de amor
Oscuro deseo: Temporada 1: Dos verdades y una mentira,2020-08-24,2020,8,August,24,Monday,Oscuro deseo,Temporada 1: Dos verdades y una mentira
Oscuro deseo: Temporada 1: Tú solo fuiste una inocente víctima,2020-08-24,2020,8,August,24,Monday,Oscuro deseo,Temporada 1: Tú solo fuiste una inocente víctima
Oscuro deseo: Temporada 1: Nos hemos equivocado tanto,2020-08-23,2020,8,August,23,Sunday,Oscuro deseo,Temporada 1: Nos hemos equivocado tanto
Con la piel de gallina: Temporada 2: Sin filtro,2020-08-23,2020,8,August,23,Sunday,Con la piel de gallina,Temporada 2: Sin filtro
Con la piel de gallina: Temporada 2: Comezón,2020-08-23,2020,8,August,23,Sunday,Con la piel de gallina,Temporada 2: Comezón
Con la piel de gallina: Temporada 2: Astillas Claus,2020-08-23,2020,8,August,23,Sunday,Con la piel de gallina,Temporada 2: Astillas Claus
Con la piel de gallina: Temporada 2: La otra dimensión,2020-08-23,2020,8,August,23,Sunday,Con la piel de gallina,Temporada 2: La otra dimensión
High Score: El mundo de los videojuegos: Miniserie: Auge y decadencia,2020-08-22,2020,8,August,22,Saturday,High Score,El mundo de los videojuegos: Miniserie: Auge y decadencia
Biohackers: Temporada 1: Sospechas,2020-08-21,2020,8,August,21,Friday,Biohackers,Temporada 1: Sospechas
Biohackers: Temporada 1: Secretos,2020-08-21,2020,8,August,21,Friday,Biohackers,Temporada 1: Secretos
Biohackers: Temporada 1: Llegada,2020-08-21,2020,8,August,21,Friday,Biohackers,Temporada 1: Llegada
Oscuro deseo: Temporada 1: Nada es lo que parece,2020-08-21,2020,8,August,21,Friday,Oscuro deseo,Temporada 1: Nada es lo que parece
Oscuro deseo: Temporada 1: Esa instantánea muerte es bella...,2020-08-21,2020,8,August,21,Friday,Oscuro deseo,Temporada 1: Esa instantánea muerte es bella...
Oscuro deseo: Temporada 1: Un perverso juego de espejos,2020-08-21,2020,8,August,21,Friday,Oscuro deseo,Temporada 1: Un perverso juego de espejos
Oscuro deseo: Temporada 1: El corazón delator,2020-08-20,2020,8,August,20,Thursday,Oscuro deseo,Temporada 1: El corazón delator
El robo del siglo: Miniserie: Todo el dinero del mundo,2020-08-16,2020,8,August,16,Sunday,El robo del siglo,Miniserie: Todo el dinero del mundo
El robo del siglo: Miniserie: Billetes malditos,2020-08-16,2020,8,August,16,Sunday,El robo del siglo,Miniserie: Billetes malditos
El robo del siglo: Miniserie: Escape de Valledupar,2020-08-16,2020,8,August,16,Sunday,El robo del siglo,Miniserie: Escape de Valledupar
El robo del siglo: Miniserie: Manosucia,2020-08-16,2020,8,August,16,Sunday,El robo del siglo,Miniserie: Manosucia
El robo del siglo: Miniserie: La titular,2020-08-16,2020,8,August,16,Sunday,El robo del siglo,Miniserie: La titular
El robo del siglo: Miniserie: Un negocio bonito,2020-08-16,2020,8,August,16,Sunday,El robo del siglo,Miniserie: Un negocio bonito
Proyecto Power,2020-08-14,2020,8,August,14,Friday,Proyecto Power,
Conexiones: Temporada 1: Armas nucleares,2020-08-10,2020,8,August,10,Monday,Conexiones,Temporada 1: Armas nucleares
Conexiones: Temporada 1: Heces,2020-08-09,2020,8,August,9,Sunday,Conexiones,Temporada 1: Heces
Conexiones: Temporada 1: Vigilancia,2020-08-09,2020,8,August,9,Sunday,Conexiones,Temporada 1: Vigilancia
El guardián invisible,2020-08-08,2020,8,August,8,Saturday,El guardián invisible,
Descubriendo a Anna Frank: Historias paralelas,2020-08-07,2020,8,August,7,Friday,Descubriendo a Anna Frank,Historias paralelas
Siberia,2020-08-02,2020,8,August,2,Sunday,Siberia,
The Umbrella Academy: Temporada 1: El Violín Blanco,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 1: El Violín Blanco
The Umbrella Academy: Temporada 2: El fin de algo,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: El fin de algo
The Umbrella Academy: Temporada 2: Orden 743,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Orden 743
The Umbrella Academy: Temporada 2: Las siete etapas,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Las siete etapas
The Umbrella Academy: Temporada 2: Ojo por ojo,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Ojo por ojo
The Umbrella Academy: Temporada 2: Una cena tranquila,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Una cena tranquila
The Umbrella Academy: Temporada 2: Reunión de emergencia,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Reunión de emergencia
The Umbrella Academy: Temporada 2: Los Doce majestuosos,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Los Doce majestuosos
The Umbrella Academy: Temporada 2: Los suecos,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: Los suecos
The Umbrella Academy: Temporada 2: El video de Frankel,2020-08-02,2020,8,August,2,Sunday,The Umbrella Academy,Temporada 2: El video de Frankel
Ofrenda a la tormenta,2020-08-02,2020,8,August,2,Sunday,Ofrenda a la tormenta,
Legado en los huesos,2020-08-02,2020,8,August,2,Sunday,Legado en los huesos,
Hater,2020-08-01,2020,8,August,1,Saturday,Hater,
El dictador,2020-07-31,2020,7,July,31,Friday,El dictador,
Salvation: Temporada 1: Otra vuelta al Sol,2020-07-28,2020,7,July,28,Tuesday,Salvation,Temporada 1: Otra vuelta al Sol
Salvation: Temporada 1: Piloto,2020-07-28,2020,7,July,28,Tuesday,Salvation,Temporada 1: Piloto
Parker,2020-07-28,2020,7,July,28,Tuesday,Parker,
Chappie,2020-07-24,2020,7,July,24,Friday,Chappie,
La fortaleza de Shanghái,2020-07-24,2020,7,July,24,Friday,La fortaleza de Shanghái,
Crisis en la niñez: Temporada 1: El TDAH es necesario,2020-07-22,2020,7,July,22,Wednesday,Crisis en la niñez,Temporada 1: El TDAH es necesario
La Red Avispa,2020-07-19,2020,7,July,19,Sunday,La Red Avispa,
Recursos inhumanos: Miniserie: Episodio 6,2020-07-19,2020,7,July,19,Sunday,Recursos inhumanos,Miniserie: Episodio 6
Recursos inhumanos: Miniserie: Episodio 5,2020-07-19,2020,7,July,19,Sunday,Recursos inhumanos,Miniserie: Episodio 5
Recursos inhumanos: Miniserie: Episodio 4,2020-07-19,2020,7,July,19,Sunday,Recursos inhumanos,Miniserie: Episodio 4
Recursos inhumanos: Miniserie: Episodio 3,2020-07-19,2020,7,July,19,Sunday,Recursos inhumanos,Miniserie: Episodio 3
Recursos inhumanos: Miniserie: Episodio 2,2020-07-18,2020,7,July,18,Saturday,Recursos inhumanos,Miniserie: Episodio 2
Recursos inhumanos: Miniserie: Episodio 1,2020-07-18,2020,7,July,18,Saturday,Recursos inhumanos,Miniserie: Episodio 1
Transformers: El último caballero,2020-07-15,2020,7,July,15,Wednesday,Transformers,El último caballero
Robot 7723,2020-07-15,2020,7,July,15,Wednesday,Robot 7723,
La vieja guardia,2020-07-13,2020,7,July,13,Monday,La vieja guardia,
Asesino: Misión venganza,2020-07-13,2020,7,July,13,Monday,Asesino,Misión venganza
"Snowpiercer: Temporada 1: Primero, cambió el clima",2020-07-11,2020,7,July,11,Saturday,Snowpiercer,"Temporada 1: Primero, cambió el clima"
Viajeros: Temporada 1: Protocolo 6,2020-07-10,2020,7,July,10,Friday,Viajeros,Temporada 1: Protocolo 6
Viajeros: Temporada 1: Piloto,2020-07-10,2020,7,July,10,Friday,Viajeros,Temporada 1: Piloto
Misterios sin resolver: Volumen 1: Trece minutos,2020-07-07,2020,7,July,7,Tuesday,Misterios sin resolver,Volumen 1: Trece minutos
La torre oscura,2020-07-05,2020,7,July,5,Sunday,La torre oscura,
Enemigo inmortal,2020-07-05,2020,7,July,5,Sunday,Enemigo inmortal,
Festival de la Canción de Eurovisión: La historia de Fire Saga,2020-07-04,2020,7,July,4,Saturday,Festival de la Canción de Eurovisión,La historia de Fire Saga
